"","date","beta_v"
"V2",2020-02-21,2.16935674111559
"V3",2020-02-22,2.33548539289247
"V4",2020-02-23,2.42675419853038
"V5",2020-02-24,2.46632127296989
"V6",2020-02-25,2.80670323386323
"V7",2020-02-26,2.67514856788445
"V8",2020-02-27,2.61473038381641
"V9",2020-02-28,2.60739662981083
"V10",2020-02-29,2.41652416051395
"V11",2020-03-01,2.11989726213728
"V12",2020-03-02,1.83025336369502
"V13",2020-03-03,1.48380220209292
"V14",2020-03-04,1.26263746078747
"V15",2020-03-05,0.984962231399263
"V16",2020-03-06,0.783422703769599
"V17",2020-03-07,0.596238009217441
"V18",2020-03-08,0.533334060637867
"V19",2020-03-09,0.512926653047167
"V20",2020-03-10,0.498756656994367
"V21",2020-03-11,0.474736903440193
"V22",2020-03-12,0.427354290706341
"V23",2020-03-13,0.380645105947868
"V24",2020-03-14,0.381753608322696
"V25",2020-03-15,0.435462808590217
"V26",2020-03-16,0.46586343991354
"V27",2020-03-17,0.493087924409607
"V28",2020-03-18,0.483729063453444
"V29",2020-03-19,0.458553482889731
"V30",2020-03-20,0.441745226662794
"V31",2020-03-21,0.407406791715827
"V32",2020-03-22,0.312048400532988
"V33",2020-03-23,0.215564393026053
"V34",2020-03-24,0.129352220946228
"V35",2020-03-25,0.106430910170337
"V36",2020-03-26,0.102552503480018
"V37",2020-03-27,0.0940993735541108
"V38",2020-03-28,0.0863275347976533
"V39",2020-03-29,0.0905124075358198
"V40",2020-03-30,0.110355750883239
"V41",2020-03-31,0.137861181869532
"V42",2020-04-01,0.161503525490819
"V43",2020-04-02,0.210543328615168
"V44",2020-04-03,0.291085559898095
"V45",2020-04-04,0.350082801711359
"V46",2020-04-05,0.372443571776868
"V47",2020-04-06,0.368026709253989
"V48",2020-04-07,0.36519402911091
"V49",2020-04-08,0.34955725140863
"V50",2020-04-09,0.333600860229637
"V51",2020-04-10,0.300935439087065
"V52",2020-04-11,0.294381747358826
"V53",2020-04-12,0.32428001879575
"V54",2020-04-13,0.350123090451312
"V55",2020-04-14,0.335706631399409
"V56",2020-04-15,0.33030142113362
"V57",2020-04-16,0.304280003196339
"V58",2020-04-17,0.281179716350757
"V59",2020-04-18,0.246387324002406
"V60",2020-04-19,0.222335193061051
"V61",2020-04-20,0.186902107783932
"V62",2020-04-21,0.187205350569071
"V63",2020-04-22,0.189583215279726
"V64",2020-04-23,0.184796186222572
"V65",2020-04-24,0.187209240282859
"V66",2020-04-25,0.187251799920623
"V67",2020-04-26,0.165131338844655
"V68",2020-04-27,0.181334816775501
"V69",2020-04-28,0.199879444964491
"V70",2020-04-29,0.206508749462719
"V71",2020-04-30,0.206955450637873
"V72",2020-05-01,0.181444967238955
"V73",2020-05-02,0.172475361887906
"V74",2020-05-03,0.181219158513409
"V75",2020-05-04,0.203745114416487
"V76",2020-05-05,0.194173124002657
"V77",2020-05-06,0.178549787549519
"V78",2020-05-07,0.180986614088331
"V79",2020-05-08,0.194908653193188
"V80",2020-05-09,0.221986305299158
"V81",2020-05-10,0.248969634753427
"V82",2020-05-11,0.234844091874265
"V83",2020-05-12,0.244978993890734
"V84",2020-05-13,0.280068559262418
"V85",2020-05-14,0.299382149779479
"V86",2020-05-15,0.294973913264809
"V87",2020-05-16,0.272050348574903
"V88",2020-05-17,0.249634775286277
"V89",2020-05-18,0.236968378174209
"V90",2020-05-19,0.229563061987199
"V91",2020-05-20,0.186840544699956
"V92",2020-05-21,0.152920241613134
"V93",2020-05-22,0.131908332795469
"V94",2020-05-23,0.118091138704252
"V95",2020-05-24,0.0954491440954971
"V96",2020-05-25,0.0729539094610533
"V97",2020-05-26,0.048945757889787
"V98",2020-05-27,0.0487893401549307
"V99",2020-05-28,0.0514279201199063
"V100",2020-05-29,0.0590119070115363
"V101",2020-05-30,0.0583813176040995
"V102",2020-05-31,0.0690250176898056
"V103",2020-06-01,0.08819393486292
"V104",2020-06-02,0.094559459957035
"V105",2020-06-03,0.0958646744800625
"V106",2020-06-04,0.0958369464958311
"V107",2020-06-05,0.0970335956252321
"V108",2020-06-06,0.0976024717223219
"V109",2020-06-07,0.0864020700355207
"V110",2020-06-08,0.0784364134304811
"V111",2020-06-09,0.0839567179335407
"V112",2020-06-10,0.0846789830099842
"V113",2020-06-11,0.0880193529737935
"V114",2020-06-12,0.0883993502229296
"V115",2020-06-13,0.0957902641881338
"V116",2020-06-14,0.111065576125937
"V117",2020-06-15,0.109147552810246
"V118",2020-06-16,0.120607828709627
"V119",2020-06-17,0.150246054793593
"V120",2020-06-18,0.196752899217818
"V121",2020-06-19,0.220196001587539
"V122",2020-06-20,0.244991785120233
"V123",2020-06-21,0.259438090670734
"V124",2020-06-22,0.287212137115694
"V125",2020-06-23,0.326160596367424
"V126",2020-06-24,0.330899306817477
"V127",2020-06-25,0.339681244543966
"V128",2020-06-26,0.381265403524431
"V129",2020-06-27,0.396999813340026
"V130",2020-06-28,0.395444711354883
"V131",2020-06-29,0.37523199254626
"V132",2020-06-30,0.318678580477375
"V133",2020-07-01,0.291676010216897
"V134",2020-07-02,0.243448859913346
"V135",2020-07-03,0.173249079274163
"V136",2020-07-04,0.125810553989629
"V137",2020-07-05,0.0937884037588459
"V138",2020-07-06,0.076708160528889
"V139",2020-07-07,0.0757318000839263
"V140",2020-07-08,0.0726391327814883
"V141",2020-07-09,0.0675814023700068
"V142",2020-07-10,0.0705313439750412
"V143",2020-07-11,0.0759618737703166
"V144",2020-07-12,0.0925953600288118
"V145",2020-07-13,0.102899386700378
"V146",2020-07-14,0.0996592626555158
"V147",2020-07-15,0.0930188030294421
"V148",2020-07-16,0.089979796197729
"V149",2020-07-17,0.0922800587918932
"V150",2020-07-18,0.0985888870813679
"V151",2020-07-19,0.0902249533544196
"V152",2020-07-20,0.0881087867559623
"V153",2020-07-21,0.0942697766283232
"V154",2020-07-22,0.111809337701228
"V155",2020-07-23,0.125617646050961
"V156",2020-07-24,0.135402667452829
"V157",2020-07-25,0.162812483981707
"V158",2020-07-26,0.174588223468851
"V159",2020-07-27,0.192616592880337
"V160",2020-07-28,0.223103359988571
"V161",2020-07-29,0.238258881716362
"V162",2020-07-30,0.262452550930426
"V163",2020-07-31,0.279075832520044
"V164",2020-08-01,0.272274546120338
"V165",2020-08-02,0.273564032343313
"V166",2020-08-03,0.259207329646358
"V167",2020-08-04,0.232622612626584
"V168",2020-08-05,0.221049124591726
"V169",2020-08-06,0.188239792938126
"V170",2020-08-07,0.16049148450579
"V171",2020-08-08,0.132720106146764
"V172",2020-08-09,0.110700882793045
"V173",2020-08-10,0.0996970096616147
"V174",2020-08-11,0.0949692046391887
"V175",2020-08-12,0.0900864366649404
"V176",2020-08-13,0.104422877789194
"V177",2020-08-14,0.108318660568044
"V178",2020-08-15,0.109597601060839
"V179",2020-08-16,0.117539978770162
"V180",2020-08-17,0.122375013320061
"V181",2020-08-18,0.119398215400454
"V182",2020-08-19,0.115824084506517
"V183",2020-08-20,0.107121435945221
"V184",2020-08-21,0.118081348190255
"V185",2020-08-22,0.147551954889222
"V186",2020-08-23,0.157655130227483
"V187",2020-08-24,0.183115868796253
"V188",2020-08-25,0.191041966799954
"V189",2020-08-26,0.191175116083659
"V190",2020-08-27,0.189659546046149
"V191",2020-08-28,0.175755836125605
"V192",2020-08-29,0.142868175724893
"V193",2020-08-30,0.13058155119265
"V194",2020-08-31,0.107848962186134
"V195",2020-09-01,0.0999082508171154
"V196",2020-09-02,0.102057870501593
"V197",2020-09-03,0.11231408913394
"V198",2020-09-04,0.135499546930192
"V199",2020-09-05,0.16641218939677
"V200",2020-09-06,0.182330249953689
"V201",2020-09-07,0.188401116448664
"V202",2020-09-08,0.196208132130716
"V203",2020-09-09,0.184010302309255
"V204",2020-09-10,0.163798914745849
"V205",2020-09-11,0.139687606661927
"V206",2020-09-12,0.106559796252844
"V207",2020-09-13,0.0892155008687147
"V208",2020-09-14,0.0957472424287723
"V209",2020-09-15,0.0880290379991421
"V210",2020-09-16,0.0887810750954692
"V211",2020-09-17,0.091806449109215
"V212",2020-09-18,0.102618420245889
"V213",2020-09-19,0.113783589334573
"V214",2020-09-20,0.144020144184662
"V215",2020-09-21,0.134817520807649
"V216",2020-09-22,0.135963946493638
"V217",2020-09-23,0.142140201753312
"V218",2020-09-24,0.155871367318229
"V219",2020-09-25,0.185100729496959
"V220",2020-09-26,0.203545562600577
"V221",2020-09-27,0.195126419800652
"V222",2020-09-28,0.1971925730082
"V223",2020-09-29,0.200133146223461
"V224",2020-09-30,0.207094950556701
"V225",2020-10-01,0.217649247346652
"V226",2020-10-02,0.216716570197158
"V227",2020-10-03,0.267038993207038
"V228",2020-10-04,0.279332188927809
"V229",2020-10-05,0.290781526433382
"V230",2020-10-06,0.302696388985825
"V231",2020-10-07,0.321454459187862
"V232",2020-10-08,0.318673435349016
"V233",2020-10-09,0.330212087744518
"V234",2020-10-10,0.304271324485045
"V235",2020-10-11,0.315476544810119
"V236",2020-10-12,0.344065994400155
"V237",2020-10-13,0.355788116122674
"V238",2020-10-14,0.364329062283444
"V239",2020-10-15,0.365056901484773
"V240",2020-10-16,0.348686007829678
"V241",2020-10-17,0.330274783520035
"V242",2020-10-18,0.351964662759496
"V243",2020-10-19,0.40724316267817
"V244",2020-10-20,0.401820153615238
"V245",2020-10-21,0.379804748286726
"V246",2020-10-22,0.373894615221483
"V247",2020-10-23,0.363869382833892
"V248",2020-10-24,0.361394886952979
"V249",2020-10-25,0.331202749879043
"V250",2020-10-26,0.285011188164373
"V251",2020-10-27,0.287990863202412
"V252",2020-10-28,0.288128156649389
"V253",2020-10-29,0.293936203462211
"V254",2020-10-30,0.307007835974246
"V255",2020-10-31,0.403000478453724
"V256",2020-11-01,0.518511889984429
"V257",2020-11-02,0.668858077342689
"V258",2020-11-03,0.824366215135064
"V259",2020-11-04,0.978234160847418
"V260",2020-11-05,1.04755971325626
"V261",2020-11-06,1.07245072936898
"V262",2020-11-07,1.00805638247529
"V263",2020-11-08,0.897220976963779
"V264",2020-11-09,0.736612459073333
"V265",2020-11-10,0.601082791241235
"V266",2020-11-11,0.443896587362857
"V267",2020-11-12,0.373174691820214
"V268",2020-11-13,0.33531684388119
"V269",2020-11-14,0.288860082815223
"V270",2020-11-15,0.260266038112804
"V271",2020-11-16,0.224167348026877
"V272",2020-11-17,0.177296797135992
"V273",2020-11-18,0.163283729381146
"V274",2020-11-19,0.139131289476833
"V275",2020-11-20,0.115199589337547
"V276",2020-11-21,0.0911574061250886
"V277",2020-11-22,0.0726685039710389
"V278",2020-11-23,0.058754795780661
"V279",2020-11-24,0.0553496960574293
"V280",2020-11-25,0.0474102874796132
"V281",2020-11-26,0.0409425684598652
"V282",2020-11-27,0.0309832566411373
"V283",2020-11-28,0.0291529049098852
"V284",2020-11-29,0.0245887384623749
"V285",2020-11-30,0.017526859261615
"V286",2020-12-01,0.0123427533307033
"V287",2020-12-02,0.00930447260203691
"V288",2020-12-03,0.00966792565987292
"V289",2020-12-04,0.00892178747943007
"V290",2020-12-05,0.0083144457602013
"V291",2020-12-06,0.00872575692384476
"V292",2020-12-07,0.00939080512787352
"V293",2020-12-08,0.00980226970931537
"V294",2020-12-09,0.0104889902310832
"V295",2020-12-10,0.0104199319737346
"V296",2020-12-11,0.0109878095492254
"V297",2020-12-12,0.0118630379718735
"V298",2020-12-13,0.0136821081680161
"V299",2020-12-14,0.016402745984979
"V300",2020-12-15,0.0199413927471791
"V301",2020-12-16,0.0215358511048236
"V302",2020-12-17,0.0279071058299564
"V303",2020-12-18,0.0400332296488682
"V304",2020-12-19,0.0481214558128203
"V305",2020-12-20,0.0702376013399929
"V306",2020-12-21,0.0983212108297606
"V307",2020-12-22,0.134745360081925
"V308",2020-12-23,0.205514158227794
"V309",2020-12-24,0.227795059181531
"V310",2020-12-25,0.232994530647069
"V311",2020-12-26,0.252432963255458
"V312",2020-12-27,0.243540544162495
"V313",2020-12-28,0.233456491091853
"V314",2020-12-29,0.207755391181372
"V315",2020-12-30,0.151895103751116
"V316",2020-12-31,0.13217124330842
"V317",2021-01-01,0.117851807797635
"V318",2021-01-02,0.104336214019255
"V319",2021-01-03,0.0976334173911463
"V320",2021-01-04,0.0890305288463841
"V321",2021-01-05,0.0857068206252224
"V322",2021-01-06,0.0776019617140074
"V323",2021-01-07,0.0734756805854221
"V324",2021-01-08,0.0902098635292846
"V325",2021-01-09,0.0905415439345743
"V326",2021-01-10,0.11354189143616
"V327",2021-01-11,0.129084685572563
"V328",2021-01-12,0.156339357789257
"V329",2021-01-13,0.182500799870813
"V330",2021-01-14,0.222141774395041
"V331",2021-01-15,0.222972883538634
"V332",2021-01-16,0.22697121357025
"V333",2021-01-17,0.205671668580494
"V334",2021-01-18,0.196045122741989
"V335",2021-01-19,0.168527048295371
"V336",2021-01-20,0.145113409982433
"V337",2021-01-21,0.119822273841243
"V338",2021-01-22,0.132103972059728
"V339",2021-01-23,0.141867799931006
"V340",2021-01-24,0.166986769553411
"V341",2021-01-25,0.188605490752563
"V342",2021-01-26,0.21213831026327
"V343",2021-01-27,0.228454749274417
"V344",2021-01-28,0.227767175942708
"V345",2021-01-29,0.226023682844815
"V346",2021-01-30,0.215888336960458
"V347",2021-01-31,0.197650434154796
"V348",2021-02-01,0.184442476624842
"V349",2021-02-02,0.170305337289855
"V350",2021-02-03,0.179550403412659
"V351",2021-02-04,0.175161438618995
"V352",2021-02-05,0.196589479803226
"V353",2021-02-06,0.247055785641028
"V354",2021-02-07,0.277747434576757
"V355",2021-02-08,0.271399841119156
"V356",2021-02-09,0.274391772160228
"V357",2021-02-10,0.265864948870563
"V358",2021-02-11,0.275623853452675
"V359",2021-02-12,0.266286888654875
"V360",2021-02-13,0.26363466536218
"V361",2021-02-14,0.342354306979266
"V362",2021-02-15,0.407090069155734
"V363",2021-02-16,0.455148897267134
"V364",2021-02-17,0.464672478331016
"V365",2021-02-18,0.465999148157607
"V366",2021-02-19,0.514391401105405
"V367",2021-02-20,0.631972129872944
"V368",2021-02-21,0.563453828333659
"V369",2021-02-22,0.556111716072594
"V370",2021-02-23,0.530308239163125
"V371",2021-02-24,0.514857940863139
"V372",2021-02-25,0.534808071321631
"V373",2021-02-26,0.492176998363873
